wE	aE	wRK	aRK
0.000000	0.200000	0.000000	0.200000
-0.000195	0.200000	-0.000195	0.200000
-0.000390	0.200000	-0.000390	0.200000
-0.000585	0.200000	-0.000585	0.200000
-0.000780	0.200000	-0.000780	0.200000
-0.000974	0.200000	-0.000974	0.200000
-0.001169	0.200000	-0.001169	0.200000
-0.001364	0.200000	-0.001364	0.200000
-0.001559	0.199999	-0.001559	0.199999
-0.001754	0.199999	-0.001754	0.199999
-0.001949	0.199999	-0.001949	0.199999
-0.002144	0.199999	-0.002144	0.199999
-0.002339	0.199999	-0.002339	0.199999
-0.002534	0.199998	-0.002534	0.199998
-0.002729	0.199998	-0.002729	0.199998
-0.002923	0.199998	-0.002923	0.199998
-0.003118	0.199998	-0.003118	0.199998
-0.003313	0.199997	-0.003313	0.199997
-0.003508	0.199997	-0.003508	0.199997
-0.003703	0.199997	-0.003703	0.199996
-0.003898	0.199996	-0.003898	0.199996
-0.004093	0.199996	-0.004093	0.199996
-0.004288	0.199995	-0.004288	0.199995
-0.004483	0.199995	-0.004483	0.199995
-0.004677	0.199995	-0.004677	0.199994
-0.004872	0.199994	-0.004872	0.199994
-0.005067	0.199994	-0.005067	0.199993
-0.005262	0.199993	-0.005262	0.199993
-0.005457	0.199993	-0.005457	0.199992
-0.005652	0.199992	-0.005652	0.199992
-0.005847	0.199992	-0.005847	0.199991
-0.006042	0.199991	-0.006042	0.199991
-0.006237	0.199990	-0.006237	0.199990
-0.006431	0.199990	-0.006431	0.199989
-0.006626	0.199989	-0.006626	0.199989
-0.006821	0.199988	-0.006821	0.199988
-0.007016	0.199988	-0.007016	0.199987
-0.007211	0.199987	-0.007211	0.199987
-0.007406	0.199986	-0.007406	0.199986
-0.007601	0.199986	-0.007601	0.199985
-0.007796	0.199985	-0.007796	0.199984
-0.007990	0.199984	-0.007990	0.199984
-0.008185	0.199983	-0.008185	0.199983
-0.008380	0.199982	-0.008380	0.199982
-0.008575	0.199982	-0.008575	0.199981
-0.008770	0.199981	-0.008770	0.199980
-0.008965	0.199980	-0.008965	0.199979
-0.009160	0.199979	-0.009160	0.199978
-0.009355	0.199978	-0.009355	0.199978
-0.009549	0.199977	-0.009549	0.199977
-0.009744	0.199976	-0.009744	0.199976
-0.009939	0.199975	-0.009939	0.199975
-0.010134	0.199974	-0.010134	0.199974
-0.010329	0.199973	-0.010329	0.199973
-0.010524	0.199972	-0.010524	0.199972
-0.010719	0.199971	-0.010719	0.199971
-0.010914	0.199970	-0.010914	0.199969
-0.011108	0.199969	-0.011108	0.199968
-0.011303	0.199968	-0.011303	0.199967
-0.011498	0.199967	-0.011498	0.199966
-0.011693	0.199966	-0.011693	0.199965
-0.011888	0.199964	-0.011888	0.199964
-0.012083	0.199963	-0.012083	0.199963
-0.012278	0.199962	-0.012278	0.199961
-0.012472	0.199961	-0.012472	0.199960
-0.012667	0.199959	-0.012667	0.199959
-0.012862	0.199958	-0.012862	0.199958
-0.013057	0.199957	-0.013057	0.199956
-0.013252	0.199956	-0.013252	0.199955
-0.013447	0.199954	-0.013447	0.199954
-0.013642	0.199953	-0.013642	0.199952
-0.013836	0.199952	-0.013836	0.199951
-0.014031	0.199950	-0.014031	0.199949
-0.014226	0.199949	-0.014226	0.199948
-0.014421	0.199947	-0.014421	0.199947
-0.014616	0.199946	-0.014616	0.199945
-0.014811	0.199944	-0.014811	0.199944
-0.015006	0.199943	-0.015005	0.199942
-0.015200	0.199941	-0.015200	0.199941
-0.015395	0.199940	-0.015395	0.199939
-0.015590	0.199938	-0.015590	0.199938
-0.015785	0.199937	-0.015785	0.199936
-0.015980	0.199935	-0.015980	0.199934
-0.016175	0.199934	-0.016174	0.199933
-0.016369	0.199932	-0.016369	0.199931
-0.016564	0.199930	-0.016564	0.199930
-0.016759	0.199929	-0.016759	0.199928
-0.016954	0.199927	-0.016954	0.199926
-0.017149	0.199925	-0.017149	0.199925
-0.017343	0.199924	-0.017343	0.199923
-0.017538	0.199922	-0.017538	0.199921
-0.017733	0.199920	-0.017733	0.199919
-0.017928	0.199918	-0.017928	0.199918
-0.018123	0.199917	-0.018123	0.199916
-0.018318	0.199915	-0.018317	0.199914
-0.018512	0.199913	-0.018512	0.199912
-0.018707	0.199911	-0.018707	0.199910
-0.018902	0.199909	-0.018902	0.199908
-0.019097	0.199907	-0.019097	0.199906
-0.019292	0.199905	-0.019292	0.199904
-0.019486	0.199904	-0.019486	0.199903
-0.019681	0.199902	-0.019681	0.199901
-0.019876	0.199900	-0.019876	0.199899
-0.020071	0.199898	-0.020071	0.199897
-0.020266	0.199896	-0.020266	0.199895
-0.020460	0.199894	-0.020460	0.199893
-0.020655	0.199892	-0.020655	0.199891
-0.020850	0.199889	-0.020850	0.199888
-0.021045	0.199887	-0.021045	0.199886
-0.021240	0.199885	-0.021239	0.199884
-0.021434	0.199883	-0.021434	0.199882
-0.021629	0.199881	-0.021629	0.199880
-0.021824	0.199879	-0.021824	0.199878
-0.022019	0.199877	-0.022019	0.199876
